stage,gin,barcode,induct_at_ms,print_station_at_ms,verification_at_ms,expected_printer,expected_verification_barcode,expected_outcome,required_log_markers
2,22,PNA-HP-0017,16000,19000,22000,PNA2_151,PNA-HP-0017123,ship,"Gin: 22 barcode: PNA-HP-0017 | Label data stored for Barcode: PNA-HP-0017 | Sending Label to printer : PNA-HP-0017 at Printer: PNA2_151 | [Verification SUCCESS] GIN 22 matches expected barcode PNA-HP-0017123"
2,23,PNA-HP-0018,17000,20000,23000,PNA2_152,PNA-HP-0018123,ship,"Gin: 23 barcode: PNA-HP-0018 | Label data stored for Barcode: PNA-HP-0018 | Sending Label to printer : PNA-HP-0018 at Printer: PNA2_152 | [Verification SUCCESS] GIN 23 matches expected barcode PNA-HP-0018123"
2,24,PNA-HP-0019,18000,21000,24000,PNA2_151,PNA-HP-0019123,ship,"Gin: 24 barcode: PNA-HP-0019 | Label data stored for Barcode: PNA-HP-0019 | Sending Label to printer : PNA-HP-0019 at Printer: PNA2_151 | [Verification SUCCESS] GIN 24 matches expected barcode PNA-HP-0019123"
2,25,PNA-HP-0020,19000,22000,25000,PNA2_152,PNA-HP-0020123,ship,"Gin: 25 barcode: PNA-HP-0020 | Label data stored for Barcode: PNA-HP-0020 | Sending Label to printer : PNA-HP-0020 at Printer: PNA2_152 | [Verification SUCCESS] GIN 25 matches expected barcode PNA-HP-0020123"
3,26,PNA-NR-0001,0,3000,6000,,PNA-NR-0001123,ship,"Gin: 26 barcode: PNA-NR-0001 | Label data stored for Barcode: PNA-NR-0001 | Sending Label to printer : PNA-NR-0001 | [Verification SUCCESS] GIN 26 matches expected barcode PNA-NR-0001123"
3,27,PNA-NR-0002,1000,4000,7000,,PNA-NR-0002123,ship,"Gin: 27 barcode: PNA-NR-0002 | Label data stored for Barcode: PNA-NR-0002 | Sending Label to printer : PNA-NR-0002 | [Verification SUCCESS] GIN 27 matches expected barcode PNA-NR-0002123"
3,28,PNA-NR-0003,2000,5000,8000,,PNA-NR-0003123,ship,"Gin: 28 barcode: PNA-NR-0003 | Label data stored for Barcode: PNA-NR-0003 | Sending Label to printer : PNA-NR-0003 | [Verification SUCCESS] GIN 28 matches expected barcode PNA-NR-0003123"
3,29,?????,3000,6000,9000,,,no-read-exception,"Gin: 29 barcode: ????? | Label data rejected"
3,30,PNA-NR-0005,4000,7000,10000,,PNA-NR-0005123,ship,"Gin: 30 barcode: PNA-NR-0005 | Label data stored for Barcode: PNA-NR-0005 | Sending Label to printer : PNA-NR-0005 | [Verification SUCCESS] GIN 30 matches expected barcode PNA-NR-0005123"
3,31,PNA-NR-0006,5000,8000,11000,,PNA-NR-0006123,ship,"Gin: 31 barcode: PNA-NR-0006 | Label data stored for Barcode: PNA-NR-0006 | Sending Label to printer : PNA-NR-0006 | [Verification SUCCESS] GIN 31 matches expected barcode PNA-NR-0006123"
3,32,PNA-NR-0007,6000,9000,12000,,PNA-NR-0007123,ship,"Gin: 32 barcode: PNA-NR-0007 | Label data stored for Barcode: PNA-NR-0007 | Sending Label to printer : PNA-NR-0007 | [Verification SUCCESS] GIN 32 matches expected barcode PNA-NR-0007123"
3,33,?????,7000,10000,13000,,,no-read-exception,"Gin: 33 barcode: ????? | Label data rejected"
3,34,PNA-NR-0009,8000,11000,14000,,PNA-NR-0009123,ship,"Gin: 34 barcode: PNA-NR-0009 | Label data stored for Barcode: PNA-NR-0009 | Sending Label to printer : PNA-NR-0009 | [Verification SUCCESS] GIN 34 matches expected barcode PNA-NR-0009123"
3,35,PNA-NR-0010,9000,12000,15000,,PNA-NR-0010123,ship,"Gin: 35 barcode: PNA-NR-0010 | Label data stored for Barcode: PNA-NR-0010 | Sending Label to printer : PNA-NR-0010 | [Verification SUCCESS] GIN 35 matches expected barcode PNA-NR-0010123"
4,36,PNA-SBS-0001,0,3000,6000,,PNA-SBS-0001123,ship,"Gin: 36 barcode: PNA-SBS-0001 | Label data stored for Barcode: PNA-SBS-0001 | Sending Label to printer : PNA-SBS-0001 | [Verification SUCCESS] GIN 36 matches expected barcode PNA-SBS-0001123"
4,37,PNA-SBS-0002,1000,4000,7000,,PNA-SBS-0002123,ship,"Gin: 37 barcode: PNA-SBS-0002 | Label data stored for Barcode: PNA-SBS-0002 | Sending Label to printer : PNA-SBS-0002 | [Verification SUCCESS] GIN 37 matches expected barcode PNA-SBS-0002123"
4,38,***8,2000,5000,8000,,,side-by-side-exception,"Gin: 38 barcode: ***8 | Label data rejected"
4,39,PNA-SBS-0004,3000,6000,9000,,PNA-SBS-0004123,ship,"Gin: 39 barcode: PNA-SBS-0004 | Label data stored for Barcode: PNA-SBS-0004 | Sending Label to printer : PNA-SBS-0004 | [Verification SUCCESS] GIN 39 matches expected barcode PNA-SBS-0004123"
4,40,PNA-SBS-0005,4000,7000,10000,,PNA-SBS-0005123,ship,"Gin: 40 barcode: PNA-SBS-0005 | Label data stored for Barcode: PNA-SBS-0005 | Sending Label to printer : PNA-SBS-0005 | [Verification SUCCESS] GIN 40 matches expected barcode PNA-SBS-0005123"
4,41,PNA-SBS-0006,5000,8000,11000,,PNA-SBS-0006123,ship,"Gin: 41 barcode: PNA-SBS-0006 | Label data stored for Barcode: PNA-SBS-0006 | Sending Label to printer : PNA-SBS-0006 | [Verification SUCCESS] GIN 41 matches expected barcode PNA-SBS-0006123"
4,42,PNA-SBS-0007,6000,9000,12000,,PNA-SBS-0007123,ship,"Gin: 42 barcode: PNA-SBS-0007 | Label data stored for Barcode: PNA-SBS-0007 | Sending Label to printer : PNA-SBS-0007 | [Verification SUCCESS] GIN 42 matches expected barcode PNA-SBS-0007123"
4,43,PNA-SBS-0008,7000,10000,13000,,PNA-SBS-0008123,ship,"Gin: 43 barcode: PNA-SBS-0008 | Label data stored for Barcode: PNA-SBS-0008 | Sending Label to printer : PNA-SBS-0008 | [Verification SUCCESS] GIN 43 matches expected barcode PNA-SBS-0008123"
4,44,***8,8000,11000,14000,,,side-by-side-exception,"Gin: 44 barcode: ***8 | Label data rejected"
4,45,PNA-SBS-0010,9000,12000,15000,,PNA-SBS-0010123,ship,"Gin: 45 barcode: PNA-SBS-0010 | Label data stored for Barcode: PNA-SBS-0010 | Sending Label to printer : PNA-SBS-0010 | [Verification SUCCESS] GIN 45 matches expected barcode PNA-SBS-0010123"
5,46,PNA-CYC-0001,0,3000,6000,PNA2_152,PNA-CYC-0001123,ship,"Gin: 46 barcode: PNA-CYC-0001 | Sending Label to printer : PNA-CYC-0001 at Printer: PNA2_152 | [Verification SUCCESS] GIN 46 matches expected barcode PNA-CYC-0001123"
5,47,PNA-CYC-0002,1000,4000,7000,PNA2_152,PNA-CYC-0002123,ship,"Gin: 47 barcode: PNA-CYC-0002 | Sending Label to printer : PNA-CYC-0002 at Printer: PNA2_152 | [Verification SUCCESS] GIN 47 matches expected barcode PNA-CYC-0002123"
5,48,PNA-CYC-0003,2000,5000,8000,PNA2_152,PNA-CYC-0003123,ship,"Gin: 48 barcode: PNA-CYC-0003 | Sending Label to printer : PNA-CYC-0003 at Printer: PNA2_152 | [Verification SUCCESS] GIN 48 matches expected barcode PNA-CYC-0003123"
5,49,PNA-CYC-0004,3000,6000,9000,PNA2_152,PNA-CYC-0004123,ship,"Gin: 49 barcode: PNA-CYC-0004 | Sending Label to printer : PNA-CYC-0004 at Printer: PNA2_152 | [Verification SUCCESS] GIN 49 matches expected barcode PNA-CYC-0004123"
5,50,PNA-CYC-0005,4000,7000,10000,PNA2_152,PNA-CYC-0005123,ship,"Gin: 50 barcode: PNA-CYC-0005 | Sending Label to printer : PNA-CYC-0005 at Printer: PNA2_152 | [Verification SUCCESS] GIN 50 matches expected barcode PNA-CYC-0005123"
5,51,PNA-CYC-0006,5000,8000,11000,PNA2_151,PNA-CYC-0006123,ship,"Gin: 51 barcode: PNA-CYC-0006 | Sending Label to printer : PNA-CYC-0006 at Printer: PNA2_151 | [Verification SUCCESS] GIN 51 matches expected barcode PNA-CYC-0006123"
5,52,PNA-CYC-0007,6000,9000,12000,PNA2_151,PNA-CYC-0007123,ship,"Gin: 52 barcode: PNA-CYC-0007 | Sending Label to printer : PNA-CYC-0007 at Printer: PNA2_151 | [Verification SUCCESS] GIN 52 matches expected barcode PNA-CYC-0007123"
5,53,PNA-CYC-0008,7000,10000,13000,PNA2_151,PNA-CYC-0008123,ship,"Gin: 53 barcode: PNA-CYC-0008 | Sending Label to printer : PNA-CYC-0008 at Printer: PNA2_151 | [Verification SUCCESS] GIN 53 matches expected barcode PNA-CYC-0008123"
5,54,PNA-CYC-0009,8000,11000,14000,PNA2_151,PNA-CYC-0009123,ship,"Gin: 54 barcode: PNA-CYC-0009 | Sending Label to printer : PNA-CYC-0009 at Printer: PNA2_151 | [Verification SUCCESS] GIN 54 matches expected barcode PNA-CYC-0009123"
5,55,PNA-CYC-0010,9000,12000,15000,PNA2_151,PNA-CYC-0010123,ship,"Gin: 55 barcode: PNA-CYC-0010 | Sending Label to printer : PNA-CYC-0010 at Printer: PNA2_151 | [Verification SUCCESS] GIN 55 matches expected barcode PNA-CYC-0010123"
5,56,PNA-CYC-0011,10000,13000,16000,PNA2_152,PNA-CYC-0011123,ship,"Gin: 56 barcode: PNA-CYC-0011 | Sending Label to printer : PNA-CYC-0011 at Printer: PNA2_152 | [Verification SUCCESS] GIN 56 matches expected barcode PNA-CYC-0011123"
5,57,PNA-CYC-0012,11000,14000,17000,PNA2_152,PNA-CYC-0012123,ship,"Gin: 57 barcode: PNA-CYC-0012 | Sending Label to printer : PNA-CYC-0012 at Printer: PNA2_152 | [Verification SUCCESS] GIN 57 matches expected barcode PNA-CYC-0012123"
5,58,PNA-CYC-0013,12000,15000,18000,PNA2_152,PNA-CYC-0013123,ship,"Gin: 58 barcode: PNA-CYC-0013 | Sending Label to printer : PNA-CYC-0013 at Printer: PNA2_152 | [Verification SUCCESS] GIN 58 matches expected barcode PNA-CYC-0013123"
5,59,PNA-CYC-0014,13000,16000,19000,PNA2_152,PNA-CYC-0014123,ship,"Gin: 59 barcode: PNA-CYC-0014 | Sending Label to printer : PNA-CYC-0014 at Printer: PNA2_152 | [Verification SUCCESS] GIN 59 matches expected barcode PNA-CYC-0014123"
5,60,PNA-CYC-0015,14000,17000,20000,PNA2_152,PNA-CYC-0015123,ship,"Gin: 60 barcode: PNA-CYC-0015 | Sending Label to printer : PNA-CYC-0015 at Printer: PNA2_152 | [Verification SUCCESS] GIN 60 matches expected barcode PNA-CYC-0015123"
5,61,PNA-CYC-0016,15000,18000,21000,PNA2_151,PNA-CYC-0016123,ship,"Gin: 61 barcode: PNA-CYC-0016 | Sending Label to printer : PNA-CYC-0016 at Printer: PNA2_151 | [Verification SUCCESS] GIN 61 matches expected barcode PNA-CYC-0016123"
5,62,PNA-CYC-0017,16000,19000,22000,PNA2_151,PNA-CYC-0017123,ship,"Gin: 62 barcode: PNA-CYC-0017 | Sending Label to printer : PNA-CYC-0017 at Printer: PNA2_151 | [Verification SUCCESS] GIN 62 matches expected barcode PNA-CYC-0017123"
5,63,PNA-CYC-0018,17000,20000,23000,PNA2_151,PNA-CYC-0018123,ship,"Gin: 63 barcode: PNA-CYC-0018 | Sending Label to printer : PNA-CYC-0018 at Printer: PNA2_151 | [Verification SUCCESS] GIN 63 matches expected barcode PNA-CYC-0018123"
5,64,PNA-CYC-0019,18000,21000,24000,PNA2_151,PNA-CYC-0019123,ship,"Gin: 64 barcode: PNA-CYC-0019 | Sending Label to printer : PNA-CYC-0019 at Printer: PNA2_151 | [Verification SUCCESS] GIN 64 matches expected barcode PNA-CYC-0019123"
5,65,PNA-CYC-0020,19000,22000,25000,PNA2_151,PNA-CYC-0020123,ship,"Gin: 65 barcode: PNA-CYC-0020 | Sending Label to printer : PNA-CYC-0020 at Printer: PNA2_151 | [Verification SUCCESS] GIN 65 matches expected barcode PNA-CYC-0020123"
5,66,PNA-CYC-0021,20000,23000,26000,PNA2_152,PNA-CYC-0021123,ship,"Gin: 66 barcode: PNA-CYC-0021 | Sending Label to printer : PNA-CYC-0021 at Printer: PNA2_152 | [Verification SUCCESS] GIN 66 matches expected barcode PNA-CYC-0021123"
5,67,PNA-CYC-0022,21000,24000,27000,PNA2_152,PNA-CYC-0022123,ship,"Gin: 67 barcode: PNA-CYC-0022 | Sending Label to printer : PNA-CYC-0022 at Printer: PNA2_152 | [Verification SUCCESS] GIN 67 matches expected barcode PNA-CYC-0022123"
5,68,PNA-CYC-0023,22000,25000,28000,PNA2_152,PNA-CYC-0023123,ship,"Gin: 68 barcode: PNA-CYC-0023 | Sending Label to printer : PNA-CYC-0023 at Printer: PNA2_152 | [Verification SUCCESS] GIN 68 matches expected barcode PNA-CYC-0023123"
5,69,PNA-CYC-0024,23000,26000,29000,PNA2_152,PNA-CYC-0024123,ship,"Gin: 69 barcode: PNA-CYC-0024 | Sending Label to printer : PNA-CYC-0024 at Printer: PNA2_152 | [Verification SUCCESS] GIN 69 matches expected barcode PNA-CYC-0024123"
5,70,PNA-CYC-0025,24000,27000,30000,PNA2_152,PNA-CYC-0025123,ship,"Gin: 70 barcode: PNA-CYC-0025 | Sending Label to printer : PNA-CYC-0025 at Printer: PNA2_152 | [Verification SUCCESS] GIN 70 matches expected barcode PNA-CYC-0025123"
5,71,PNA-CYC-0026,25000,28000,31000,PNA2_151,PNA-CYC-0026123,ship,"Gin: 71 barcode: PNA-CYC-0026 | Sending Label to printer : PNA-CYC-0026 at Printer: PNA2_151 | [Verification SUCCESS] GIN 71 matches expected barcode PNA-CYC-0026123"
5,72,PNA-CYC-0027,26000,29000,32000,PNA2_151,PNA-CYC-0027123,ship,"Gin: 72 barcode: PNA-CYC-0027 | Sending Label to printer : PNA-CYC-0027 at Printer: PNA2_151 | [Verification SUCCESS] GIN 72 matches expected barcode PNA-CYC-0027123"
5,73,PNA-CYC-0028,27000,30000,33000,PNA2_151,PNA-CYC-0028123,ship,"Gin: 73 barcode: PNA-CYC-0028 | Sending Label to printer : PNA-CYC-0028 at Printer: PNA2_151 | [Verification SUCCESS] GIN 73 matches expected barcode PNA-CYC-0028123"
5,74,PNA-CYC-0029,28000,31000,34000,PNA2_151,PNA-CYC-0029123,ship,"Gin: 74 barcode: PNA-CYC-0029 | Sending Label to printer : PNA-CYC-0029 at Printer: PNA2_151 | [Verification SUCCESS] GIN 74 matches expected barcode PNA-CYC-0029123"
5,75,PNA-CYC-0030,29000,32000,35000,PNA2_151,PNA-CYC-0030123,ship,"Gin: 75 barcode: PNA-CYC-0030 | Sending Label to printer : PNA-CYC-0030 at Printer: PNA2_151 | [Verification SUCCESS] GIN 75 matches expected barcode PNA-CYC-0030123"
5,76,PNA-CYC-0031,30000,33000,36000,PNA2_152,PNA-CYC-0031123,ship,"Gin: 76 barcode: PNA-CYC-0031 | Sending Label to printer : PNA-CYC-0031 at Printer: PNA2_152 | [Verification SUCCESS] GIN 76 matches expected barcode PNA-CYC-0031123"
5,77,PNA-CYC-0032,31000,34000,37000,PNA2_152,PNA-CYC-0032123,ship,"Gin: 77 barcode: PNA-CYC-0032 | Sending Label to printer : PNA-CYC-0032 at Printer: PNA2_152 | [Verification SUCCESS] GIN 77 matches expected barcode PNA-CYC-0032123"
5,78,PNA-CYC-0033,32000,35000,38000,PNA2_152,PNA-CYC-0033123,ship,"Gin: 78 barcode: PNA-CYC-0033 | Sending Label to printer : PNA-CYC-0033 at Printer: PNA2_152 | [Verification SUCCESS] GIN 78 matches expected barcode PNA-CYC-0033123"
5,79,PNA-CYC-0034,33000,36000,39000,PNA2_152,PNA-CYC-0034123,ship,"Gin: 79 barcode: PNA-CYC-0034 | Sending Label to printer : PNA-CYC-0034 at Printer: PNA2_152 | [Verification SUCCESS] GIN 79 matches expected barcode PNA-CYC-0034123"
5,80,PNA-CYC-0035,34000,37000,40000,PNA2_152,PNA-CYC-0035123,ship,"Gin: 80 barcode: PNA-CYC-0035 | Sending Label to printer : PNA-CYC-0035 at Printer: PNA2_152 | [Verification SUCCESS] GIN 80 matches expected barcode PNA-CYC-0035123"
5,81,PNA-CYC-0036,35000,38000,41000,PNA2_151,PNA-CYC-0036123,ship,"Gin: 81 barcode: PNA-CYC-0036 | Sending Label to printer : PNA-CYC-0036 at Printer: PNA2_151 | [Verification SUCCESS] GIN 81 matches expected barcode PNA-CYC-0036123"
5,82,PNA-CYC-0037,36000,39000,42000,PNA2_151,PNA-CYC-0037123,ship,"Gin: 82 barcode: PNA-CYC-0037 | Sending Label to printer : PNA-CYC-0037 at Printer: PNA2_151 | [Verification SUCCESS] GIN 82 matches expected barcode PNA-CYC-0037123"
5,83,PNA-CYC-0038,37000,40000,43000,PNA2_151,PNA-CYC-0038123,ship,"Gin: 83 barcode: PNA-CYC-0038 | Sending Label to printer : PNA-CYC-0038 at Printer: PNA2_151 | [Verification SUCCESS] GIN 83 matches expected barcode PNA-CYC-0038123"
5,84,PNA-CYC-0039,38000,41000,44000,PNA2_151,PNA-CYC-0039123,ship,"Gin: 84 barcode: PNA-CYC-0039 | Sending Label to printer : PNA-CYC-0039 at Printer: PNA2_151 | [Verification SUCCESS] GIN 84 matches expected barcode PNA-CYC-0039123"
5,85,PNA-CYC-0040,39000,42000,45000,PNA2_151,PNA-CYC-0040123,ship,"Gin: 85 barcode: PNA-CYC-0040 | Sending Label to printer : PNA-CYC-0040 at Printer: PNA2_151 | [Verification SUCCESS] GIN 85 matches expected barcode PNA-CYC-0040123"
6,86,PNA-GIN-0001,0,3000,6000,,PNA-GIN-0001123,ship,"Gin: 86 barcode: PNA-GIN-0001 | Label data stored for Barcode: PNA-GIN-0001 | [Verification SUCCESS] GIN 86 matches expected barcode PNA-GIN-0001123"
6,87,PNA-GIN-0002,1000,4000,7000,,PNA-GIN-0002123,ship,"Gin: 87 barcode: PNA-GIN-0002 | Label data stored for Barcode: PNA-GIN-0002 | [Verification SUCCESS] GIN 87 matches expected barcode PNA-GIN-0002123"
6,88,PNA-GIN-0003,2000,5000,8000,,PNA-GIN-0003123,ship,"Gin: 88 barcode: PNA-GIN-0003 | Label data stored for Barcode: PNA-GIN-0003 | [Verification SUCCESS] GIN 88 matches expected barcode PNA-GIN-0003123"
6,90,PNA-GIN-0004,3000,6000,9000,,PNA-GIN-0004123,gin-skip-detected,"Gin: 90 barcode: PNA-GIN-0004 | sequence anomaly: skipped GIN 89"
6,91,PNA-GIN-0005,4000,7000,10000,,PNA-GIN-0005123,ship,"Gin: 91 barcode: PNA-GIN-0005 | Label data stored for Barcode: PNA-GIN-0005 | [Verification SUCCESS] GIN 91 matches expected barcode PNA-GIN-0005123"
6,92,PNA-GIN-0006,5000,8000,11000,,PNA-GIN-0006123,ship,"Gin: 92 barcode: PNA-GIN-0006 | Label data stored for Barcode: PNA-GIN-0006 | [Verification SUCCESS] GIN 92 matches expected barcode PNA-GIN-0006123"
6,92,PNA-GIN-0007,6000,9000,12000,,PNA-GIN-0007123,duplicate-gin-detected,"Gin: 92 barcode: PNA-GIN-0007 | sequence anomaly: duplicate GIN 92"
6,93,PNA-GIN-0008,7000,10000,13000,,PNA-GIN-0008123,ship,"Gin: 93 barcode: PNA-GIN-0008 | Label data stored for Barcode: PNA-GIN-0008 | [Verification SUCCESS] GIN 93 matches expected barcode PNA-GIN-0008123"
6,94,PNA-GIN-0009,8000,11000,14000,,PNA-GIN-0009123,ship,"Gin: 94 barcode: PNA-GIN-0009 | Label data stored for Barcode: PNA-GIN-0009 | [Verification SUCCESS] GIN 94 matches expected barcode PNA-GIN-0009123"
6,95,PNA-GIN-0010,9000,12000,15000,,PNA-GIN-0010123,ship,"Gin: 95 barcode: PNA-GIN-0010 | Label data stored for Barcode: PNA-GIN-0010 | [Verification SUCCESS] GIN 95 matches expected barcode PNA-GIN-0010123"
7,96,PNA-NOLABEL-0001,0,3000,6000,,,label-data-missing,"Gin: 96 barcode: PNA-NOLABEL-0001 | Label data rejected"
7,97,PNA-NOLABEL-0002,1000,4000,7000,,,label-data-missing,"Gin: 97 barcode: PNA-NOLABEL-0002 | Label data rejected"
7,98,PNA-NOLABEL-0003,2000,5000,8000,,,label-data-missing,"Gin: 98 barcode: PNA-NOLABEL-0003 | Label data rejected"
7,99,PNA-NOLABEL-0004,3000,6000,9000,,,label-data-missing,"Gin: 99 barcode: PNA-NOLABEL-0004 | Label data rejected"
7,100,PNA-NOLABEL-0005,4000,7000,10000,,,label-data-missing,"Gin: 100 barcode: PNA-NOLABEL-0005 | Label data rejected"
7,101,PNA-NOLABEL-0006,5000,8000,11000,,,label-data-missing,"Gin: 101 barcode: PNA-NOLABEL-0006 | Label data rejected"
7,102,PNA-NOLABEL-0007,6000,9000,12000,,,label-data-missing,"Gin: 102 barcode: PNA-NOLABEL-0007 | Label data rejected"
7,103,PNA-NOLABEL-0008,7000,10000,13000,,,label-data-missing,"Gin: 103 barcode: PNA-NOLABEL-0008 | Label data rejected"
7,104,PNA-NOLABEL-0009,8000,11000,14000,,,label-data-missing,"Gin: 104 barcode: PNA-NOLABEL-0009 | Label data rejected"
7,105,PNA-NOLABEL-0010,9000,12000,15000,,,label-data-missing,"Gin: 105 barcode: PNA-NOLABEL-0010 | Label data rejected"
